gene_id,p_sim2,q_sim2,omega_null,kappa
ENSG00000000460,0.5,0.5,0.1783189493561814,3.084027362642476
ENSG00000007171,0.5,0.5,0.8383449849514782,2.7673299503270044
ENSG00000013374,0.5,0.5,0.725000110460176,3.7926491156216784
ENSG00000018280,0.5,0.5,1.0,3.3358858833555387
ENSG00000019505,0.1383745325178558,0.5,0.5996433892844687,2.716170971606265
ENSG00000030419,0.5,0.5,0.38179792561113,2.6018501153983005
ENSG00000035403,0.5,0.5,0.6955408167598455,3.1009579721446583
ENSG00000036549,0.5,0.5,0.42721826424519493,2.6864389050336803
ENSG00000050130,0.5,0.5,0.5316038469319866,3.6045696982364084
ENSG00000053328,0.5,0.5,0.4094038798853867,4.8568971858662096
ENSG00000054116,0.49963070226763,0.5,0.7842502203332316,2.623865795508903
ENSG00000058804,0.5,0.5,0.469169140255886,3.0352673969069874
ENSG00000064886,0.5,0.5,0.939782490155566,3.5270178808496593
ENSG00000065135,0.5,0.5,0.4066311314324799,3.9334459831869664
ENSG00000065243,0.4392813774001819,0.5,0.5400599093841182,3.0295554994758334
ENSG00000065357,0.5,0.5,0.7240209318166455,3.138521117695959
ENSG00000066294,0.5,0.5,0.25317182235171765,3.1570387050360607
ENSG00000069956,0.3700106358825093,0.5,0.12976154836307108,3.1456347126682433
ENSG00000070047,0.05450651854960559,0.5,0.8335538692366248,3.3351710705417776
ENSG00000070087,0.5,0.5,0.4078687666345228,3.0461928678129335
ENSG00000070748,0.4994806852394909,0.5,0.9014085466708687,2.881978053265441
ENSG00000072571,0.3782090648865144,0.5,0.8071876852842551,3.470550341198738
ENSG00000073598,0.5,0.5,0.8558636146828302,2.361936550591451
ENSG00000074276,0.5,0.5,0.7022440696698606,3.3688401808031188
ENSG00000077152,0.5,0.5,0.7604182563032642,3.325832178097665
ENSG00000078295,0.2691438523730095,0.5,0.8041192262089534,2.981278076122532
ENSG00000079277,0.498801818902263,0.5,0.44201076472772655,3.2009398648401817
