gene_id,p_baseline,q_baseline,sig_baseline,p_realign,q_realign,sig_realign,frac_removed,stop_codons_masked,kept_cols
ENSG00000211973,0.5,0.5,False,0.001673285887033304,0.0026772574192532863,True,0.4379,3,95
ENSG00000214128,0.4277689488500366,0.5,False,0.0,0.0,True,0.3121,39,291
ENSG00000074276,5.832390126414566e-12,2.412767704927289e-11,True,1.178565937209886e-05,2.006069680357253e-05,True,0.5997,257,1732
ENSG00000169247,0.08985739395386139,0.17482156348449268,False,0.0,0.0,True,0.7509,320,1687
ENSG00000109182,6.561412374539444e-08,1.9989419094527144e-07,True,0.0,0.0,True,0.528,221,918
ENSG00000189410,0.5,0.5,False,0.0,0.0,True,0.6178,22,563
ENSG00000106367,0.0,0.0,True,0.009085881427927489,0.014196689731136702,True,0.7466,13,204
ENSG00000161638,2.13693842400775e-05,5.349151596401565e-05,True,0.002429960215499183,0.0038418343328050324,True,0.5538,270,2474
ENSG00000143125,0.004872668077650688,0.01029547609955226,True,0.3063936799922089,0.4315403943552238,False,0.5478,6,142
ENSG00000237289,0.5,0.5,False,0.0,0.0,True,0.7647,183,814
ENSG00000169245,0.3508572464277991,0.5,False,0.5,0.5,False,0.627,34,91
ENSG00000204979,0.3465147132440781,0.5,False,0.3487887755132656,0.4844288548795356,False,0.2518,5,416
ENSG00000164603,7.728673256934826e-11,2.8386622336218565e-10,True,0.0,0.0,True,0.5827,52,396
ENSG00000113790,0.5,0.5,False,0.0005503132966103164,0.0008984706883433737,True,0.1452,419,1348
ENSG00000197780,1.328840175496282e-05,3.3911310972080444e-05,True,1.44766887366643e-09,2.680868284567463e-09,True,0.6572,32,145
ENSG00000198246,5.162537064506978e-15,2.7417257653395167e-14,True,0.0,0.0,True,0.7258,45,681
ENSG00000203837,0.1328490334977948,0.2534450007991911,False,0.2197575386633003,0.3208139250559129,False,0.5458,165,516
ENSG00000176697,0.0003272845248476486,0.0007610817648824017,True,0.5,0.5,False,0.7198,2,1056
ENSG00000135913,0.5,0.5,False,0.0,0.0,True,0.5715,1313,3068
ENSG00000143748,0.5,0.5,False,0.0,0.0,True,0.6665,626,2115
ENSG00000114491,2.455258218958534e-13,1.1219959070357024e-12,True,0.0,0.0,True,0.5885,125,693
ENSG00000136943,3.595027812663965e-07,1.0465525410199544e-06,True,0.0,0.0,True,0.7411,50,645
ENSG00000140545,9.366216889294954e-07,2.6673356793426932e-06,True,0.0,0.0,True,0.7012,174,1035
ENSG00000114124,3.108555332476115e-06,8.603255251148684e-06,True,0.0,0.0,True,0.3002,79,846
ENSG00000119402,0.5,0.5,False,9.270362255620057e-15,1.9016127703836013e-14,True,0.6924,430,1062
ENSG00000197894,7.068012841671134e-11,2.6245679686169196e-10,True,4.75308681302522e-12,9.274315732732137e-12,True,0.6908,140,529
ENSG00000116745,,,,0.5,0.5,False,0.5489,343,940
ENSG00000163875,5.733232690208201e-06,1.5224057076025831e-05,True,0.0,0.0,True,0.6548,194,680
ENSG00000168594,0.0001188522571813899,0.00028832677205114956,True,1.546848329425643e-07,2.713768998992356e-07,True,0.8429,104,778
ENSG00000070087,1.77635683940025e-14,8.95010561390126e-14,True,0.0,0.0,True,0.7287,115,563
ENSG00000196547,0.0,0.0,True,0.0,0.0,True,0.7307,181,2159
ENSG00000152402,0.0002057377037066876,0.0004891176536662719,True,0.1931623255707438,0.28723022389701686,False,0.8166,233,1337
ENSG00000115041,0.0,0.0,True,0.0,0.0,True,0.4387,51,714
ENSG00000188199,0.0,0.0,True,0.5,0.5,False,0.7102,105,925
ENSG00000168077,0.00777465355861412,0.016166343113943646,True,0.001396308608316799,0.0022430660374567054,True,0.7314,164,1470
ENSG00000113361,0.0,0.0,True,0.0,0.0,True,0.4452,137,977
ENSG00000177301,0.2381607880041668,0.41598750971394466,False,0.5,0.5,False,0.9145,330,375
