gene_id,K,LRT,p_value,fdr,fdr_significant,test_omega,null_omega
ENSG00000012232,20.13393261836401,199.707709862807,0,0.0,True,,
ENSG00000013374,3.866638801559145,94.7102006339046,0,0.0,True,,
ENSG00000047579,2.49239357568633,123.3394555310661,0,0.0,True,,
ENSG00000068745,4.433957293176484,146.1883497952367,0,0.0,True,,
ENSG00000078399,14.97505489199903,136.7546011083941,0,0.0,True,,
ENSG00000079393,9.598033248055668,74.45197563428155,0,0.0,True,,
ENSG00000084093,3.468606805653863,161.3228454775672,0,0.0,True,,
ENSG00000084731,4.139168339097461,105.415604223228,0,0.0,True,,
ENSG00000089169,8.468966943775568,219.8246621953585,0,0.0,True,,
ENSG00000100565,3.829178066899838,78.4913885155911,0,0.0,True,,
ENSG00000100890,8.567390999770979,122.5856706494378,0,0.0,True,,
ENSG00000104763,3.502332341416995,104.7169088928495,0,0.0,True,,
ENSG00000106571,5.232808060798376,240.4400592811871,0,0.0,True,,
ENSG00000107371,20.815319803348,147.5192947742999,0,0.0,True,,
ENSG00000109163,10.55605437453611,129.3534816202982,0,0.0,True,,
ENSG00000109906,5.587412926951899,97.84262042728369,0,0.0,True,,
ENSG00000112561,2.922585355120242,129.8072427640873,0,0.0,True,,
ENSG00000113361,10.2587579933832,126.6752961598577,0,0.0,True,,
ENSG00000114757,4.063840457217518,71.24003987335891,0,0.0,True,,
ENSG00000115041,6.215540009562693,86.48939893893112,0,0.0,True,,
ENSG00000115839,4.02420985312212,87.15392668929417,0,0.0,True,,
ENSG00000116783,9.172961171078708,71.35481363438885,0,0.0,True,,
ENSG00000116983,50,103.9341632749783,0,0.0,True,,
ENSG00000117118,21.73429026420676,78.50769857408886,0,0.0,True,,
ENSG00000117148,50,97.11671972959084,0,0.0,True,,
ENSG00000118137,4.827876114123858,86.01675673183126,0,0.0,True,,
ENSG00000132676,7.483846941853418,120.6436265096418,0,0.0,True,,
ENSG00000134262,1.864483827226002,92.14416487743438,0,0.0,True,,
ENSG00000134897,2.763842942229083,89.90774782022345,0,0.0,True,,
ENSG00000134899,2.183121387962334,92.29234260170051,0,0.0,True,,
ENSG00000136942,4.405731493606758,73.47849272336316,0,0.0,True,,
ENSG00000137070,2.364857178936759,94.47276412975043,0,0.0,True,,
ENSG00000137075,4.191801802210701,141.9562158396438,0,0.0,True,,
ENSG00000137700,6.101785095098835,134.5230110617122,0,0.0,True,,
ENSG00000137727,2.475034808417398,86.47971205745125,0,0.0,True,,
ENSG00000138821,5.144667703781128,94.03779450226284,0,0.0,True,,
ENSG00000139318,8.062255875762377,104.2190676189366,0,0.0,True,,
ENSG00000139914,50,96.14714226574324,0,0.0,True,,
ENSG00000144401,4.230921097296914,94.98157255426122,0,0.0,True,,
ENSG00000144655,8.092039018899383,80.64431496044563,0,0.0,True,,
ENSG00000144810,3.744394344844852,71.78305555738189,0,0.0,True,,
ENSG00000145604,5.172739368007909,100.955999689977,0,0.0,True,,
ENSG00000151746,1.969519995288735,72.60656145264511,0,0.0,True,,
ENSG00000154305,2.029107713370733,145.4621354483825,0,0.0,True,,
ENSG00000155269,15.09115923808282,81.68968202394171,0,0.0,True,,
ENSG00000157927,3.044308193654067,106.6170527523354,0,0.0,True,,
ENSG00000158604,10.29189211053781,73.28025113479634,0,0.0,True,,
ENSG00000161040,6.085299821254814,139.8145286796353,0,0.0,True,,
ENSG00000162065,2.6604286086413,90.79901866318687,0,0.0,True,,
ENSG00000162711,1.505824267603178e-11,93.12515168263053,0,0.0,True,,
ENSG00000162873,4.134781411004936,142.1550906679731,0,0.0,True,,
ENSG00000163013,3.028219564798283e-13,70.52121613833879,0,0.0,True,,
ENSG00000163026,2.032634865394184,80.44742471642894,0,0.0,True,,
ENSG00000163626,15.19966349997475,104.5686319386077,0,0.0,True,,
ENSG00000164070,5.100538822896096,74.66764904769661,0,0.0,True,,
ENSG00000164077,6.396672135787337,125.6869701080868,0,0.0,True,,
ENSG00000164683,5.290951392609395,99.61338321802396,0,0.0,True,,
ENSG00000165527,50,96.72194275977199,0,0.0,True,,
ENSG00000166033,5.343881703605758,77.06120989081319,0,0.0,True,,
ENSG00000166415,6.789511681474472,104.7015200752066,0,0.0,True,,
ENSG00000166507,7.694929537235427,121.613052158471,0,0.0,True,,
ENSG00000168269,50,134.8256855982563,0,0.0,True,,
ENSG00000168394,8.349446391524676,89.13861383554467,0,0.0,True,,
ENSG00000168811,9.588666802382221,83.71735278358756,0,0.0,True,,
ENSG00000173253,2.939657095036504,74.2477654372633,0,0.0,True,,
ENSG00000173402,3.834197749097297,120.635893004117,0,0.0,True,,
ENSG00000175600,2.603837604516112,74.24388882795756,0,0.0,True,,
ENSG00000177119,6.480389252180033,87.32482546617393,0,0.0,True,,
ENSG00000178522,49.99999999999991,158.97706225414,0,0.0,True,,
ENSG00000179580,6.779155055178214,81.67671660454835,0,0.0,True,,
ENSG00000180806,50,105.9019184665831,0,0.0,True,,
ENSG00000185033,11.46139594544918,128.076142301441,0,0.0,True,,
ENSG00000185261,2.130127440763023,110.4903369246604,0,0.0,True,,
ENSG00000185313,3.623887799290108,196.2571608867438,0,0.0,True,,
ENSG00000185518,5.805986882192983,105.3981249467979,0,0.0,True,,
ENSG00000187642,3.660699782636168,79.03916197429498,0,0.0,True,,
ENSG00000196547,4.323764254717516,143.3959164379048,0,0.0,True,,
ENSG00000197724,0.1813909677282781,77.49557339370949,0,0.0,True,,
ENSG00000197859,2.347815507148811,82.22777412449796,0,0.0,True,,
ENSG00000198718,4.417679551049124,179.6981344105297,0,0.0,True,,
ENSG00000205307,8.946934940348442,70.68186780323049,0,0.0,True,,
ENSG00000244694,50,72.29116272656393,0,0.0,True,,
ENSG00000019505,10.62093185754812,68.62907526218078,1.110223024625157e-16,2.1183565757215638e-15,True,,
ENSG00000044574,5.076930318159948,69.06209904824573,1.110223024625157e-16,2.1183565757215638e-15,True,,
ENSG00000072134,1.772891589903153,69.60642122189165,1.110223024625157e-16,2.1183565757215638e-15,True,,
ENSG00000109265,2.084984209857692,69.02410977451655,1.110223024625157e-16,2.1183565757215638e-15,True,,
ENSG00000162931,2.773112798193949,69.27476246590231,1.110223024625157e-16,2.1183565757215638e-15,True,,
ENSG00000133101,5.335577913758968,67.22338406442577,2.220446049250313e-16,4.050484001929142e-15,True,,
