gene_id,gds_p_pct,gds_lrt_pct,gds_fdr,gds_selectome,gds_v5,busted_p,busted_lrt,busted_fdr,busted_fdr_sig,has_selectome,selectome_evidence,rds_har_pct,rds_rate_pct,rds_tau_pct,rds_tpm_pct,rds_v5,n_hars,max_nc_accel,brain_tau,brain_tpm,has_brain_expr,gene_symbol,classification_v5,known_intelligence_gene,cds_length,gc_content,length_category
ENSG00000000460,0.0001,0.0802,0.0,0.3,0.3201,0.5,-0.0009912359673762,0.5,False,True,1.0,0.0,0.9638,0.0,0.0,0.3373,0,7.3358981780871,0.0,0.0,no,FIRRM,dual-driven,no,228420,0.11038437965151914,long
ENSG00000000971,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.9034,0.7313,0.787,0.5439,0,3.5757639860520225,0.292,401.5,yes,CFH,regulation-driven,no,36990,0.39659367396593675,medium
ENSG00000001084,0.0006,0.417,0.0,0.0,0.1044,0.4947548645349308,0.0210913633563905,0.5,False,False,0.0,0.0,0.971,0.0,0.0,0.3399,0,7.818457334837587,0.0,0.0,no,GCLC,regulation-driven,no,105990,0.18160203792810642,long
ENSG00000001167,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,NFYA,neutral,no,45220,0.29475895621406456,medium
ENSG00000001561,0.0001,0.0706,0.0,0.0,0.0177,0.5,-0.001453042103094,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,ENPP4,neutral,no,18920,0.2792283298097252,short
ENSG00000002745,0.0001,0.071,0.0,0.0,0.0178,0.5,-0.0014113409870333,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,WNT16,neutral,no,33960,0.3048586572438163,medium
ENSG00000002822,0.649,0.7602,0.15,0.0,0.5347,2.541983650239388e-07,28.98400745910476,1.0589469578132928e-06,True,False,0.0,0.4076,0.2101,0.0,0.0,0.2162,1,0.7781817574381369,0.0,0.0,no,MAD1L1,gene-driven,no,155650,0.23162222936074525,long
ENSG00000003056,0.8252,0.7843,0.15,0.0,0.5936,4.9656995182445485e-09,36.85512895496504,2.2997569277233133e-08,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,M6PR,gene-driven,no,49880,0.21972734562951082,medium
ENSG00000003400,0.2155,0.6789,0.15,0.0,0.3844,0.0040708696503123,9.621502897098251,0.01267115496912,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,CASP10,gene-driven,no,165080,0.1754179791616186,long
ENSG00000003436,0.6414,0.7587,0.15,0.0,0.5321,3.006842717034885e-07,28.64811574691703,1.2452985574131157e-06,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,TFPI,gene-driven,no,67570,0.12884416161018203,medium
ENSG00000003987,1.0,0.9045,0.15,0.0,0.6761,0.0,91.24487068315648,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,MTMR7,gene-driven,no,83110,0.20292383588015883,long
ENSG00000003989,0.0797,0.6281,0.0,0.0,0.1809,0.084434249315625,3.557269962599094,0.2268913863295078,False,False,0.0,0.4076,0.5121,0.3731,0.5266,0.4568,1,1.1297537461454652,0.136,129.3,yes,SLC7A2,regulation-driven,no,145710,0.1788415345549379,long
ENSG00000004059,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.3478,0.0,0.0,0.1217,0,0.8813133859864533,0.0,0.0,no,ARF5,neutral,no,22840,0.18585814360770578,short
ENSG00000004142,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,POLDIP2,neutral,no,33732,0.29562433297758806,medium
ENSG00000004455,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.9106,0.0,0.0,0.3187,0,3.858306853044628,0.0,0.0,no,AK2,regulation-driven,no,61440,0.24749348958333334,medium
ENSG00000004700,1.0,0.9369,0.15,0.0,0.6842,0.0,120.5000386212632,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,RECQL,gene-driven,no,112220,0.15849224737123507,long
ENSG00000004799,0.0003,0.4067,0.0,0.0,0.1018,0.4981286149058203,0.0074995837567257,0.5,False,False,0.0,0.0,0.3019,0.791,0.8047,0.345,0,0.8476522565173112,0.315,437.8,yes,PDK4,regulation-driven,no,43320,0.16359649122807018,medium
ENSG00000004846,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.9493,0.0,0.1361,0.3527,0,6.480019419366949,0.0,7.1,yes,ABCB5,regulation-driven,no,99640,0.20581091930951426,long
ENSG00000004866,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.7101,0.0,0.0,0.2486,0,1.7475024504050511,0.0,0.0,no,ST7,neutral,no,250080,0.22739923224568137,long
ENSG00000004948,0.9273,0.801,0.15,0.0,0.6284,5.076963849326431e-10,41.41598066042206,2.548090534270111e-09,True,False,0.0,0.0,0.5193,0.8209,0.3669,0.3599,0,1.1385510200715347,0.333,45.3,yes,CALCR,gene-driven (dual),no,77160,0.19354587869362364,medium
ENSG00000005001,1.0,0.9375,0.15,0.0,0.6844,0.0,120.6541920354575,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,PRSS22,gene-driven,no,53874,0.2997921075101162,medium
ENSG00000005108,0.1506,0.6602,0.075,0.0,0.2852,0.0173301638106168,6.724319084722083,0.0509758928409272,False,False,0.0,0.8761,0.0435,0.0,0.9172,0.4594,2,0.6571715671156487,0.0,1126.7,yes,THSD7A,regulation-driven,no,182420,0.25754851441727883,long
ENSG00000005156,0.4166,0.7207,0.15,0.0,0.4552,4.558578110297473e-05,18.60553505495773,0.0001631249461915,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,LIG3,gene-driven,no,242685,0.17569689103158415,long
ENSG00000005238,1.0,0.9403,0.15,0.0,0.6851,0.0,123.0010826875223,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,ATOSB,gene-driven,no,143550,0.15476837338906305,long
ENSG00000005249,0.0283,0.5527,0.0,0.0,0.1467,0.2661225449776938,1.261302400554996,0.5,False,False,0.0,0.4076,0.0821,0.0,0.0,0.1714,1,0.6950851304825192,0.0,0.0,no,PRKAR2B,neutral,no,46530,0.2218568665377176,medium
ENSG00000005448,0.0001,0.2585,0.0,0.0,0.0647,0.5,0.0,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,WDR54,neutral,no,35290,0.29056389912156416,medium
ENSG00000005469,0.3601,0.7115,0.15,0.0,0.4359,0.0001609895158603,16.08204826694418,0.0005576336015942,True,False,0.0,0.0,0.4034,0.0,0.0,0.1412,0,0.950739855458986,0.0,0.0,no,CROT,gene-driven,no,69940,0.2680154418072634,medium
ENSG00000005486,0.9364,0.8032,0.15,0.0,0.6317,4.1363801273064377e-10,41.82576537939894,2.099423954410431e-09,True,False,0.0,0.0,0.9348,0.0,0.0,0.3272,0,5.242703111674593,0.0,0.0,no,RHBDD2,gene-driven (dual),no,28520,0.31654978962131836,short
ENSG00000005700,0.0112,0.4819,0.0,0.0,0.1238,0.3899200391142489,0.4973328164342092,0.5,False,False,0.0,0.0,0.6812,0.0,0.0,0.2384,0,1.6195458889215213,0.0,0.0,no,IBTK,neutral,no,207110,0.19175800299357829,long
ENSG00000005812,0.03,0.5595,0.0,0.0,0.1489,0.2563481468866049,1.336143258020456,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,FBXL3,neutral,no,29580,0.20520622041920217,short
ENSG00000005981,0.0898,0.6363,0.0,0.0,0.186,0.0674214523473107,4.007289694225619,0.1851901751208268,False,False,0.0,0.0,0.9734,0.0,0.1479,0.3629,0,7.862911659685052,0.0,7.6,yes,ASB4,regulation-driven,no,40420,0.20915388421573478,medium
ENSG00000006042,1.0,0.9383,0.15,0.0,0.6846,0.0,121.3923631843754,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,TMEM98,gene-driven,no,33966,0.22466584231290113,medium
ENSG00000006128,0.0413,0.5869,0.0,0.0,0.1591,0.1991199847325009,1.841401033918373,0.481723153725418,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,TAC1,neutral,no,39970,0.15138854140605454,medium
ENSG00000006194,0.0767,0.6263,0.0,0.0,0.1796,0.090370712923487,3.421375710728171,0.2416687774631316,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,ZNF263,neutral,no,110682,0.18613686055546522,long
ENSG00000006377,0.2586,0.6898,0.15,0.0,0.4,0.001552785708437,11.54911509876183,0.0050023031824909,True,False,0.0,0.8761,0.0,0.0,0.0,0.3066,2,0.0,0.0,0.0,no,DLX6,dual-driven,no,20870,0.2502635361763297,short
ENSG00000006432,0.0001,0.0935,0.0,0.0,0.0234,0.5,-0.0004345992492744,0.5,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,no,MAP3K9,neutral,no,175810,0.3484898469939139,long
ENSG00000006453,0.0043,0.4505,0.0,0.0,0.1139,0.4556590952356183,0.1857263333222363,0.5,False,False,0.0,0.0,0.2826,0.3881,0.432,0.2219,0,0.8332703900243243,0.142,63.4,yes,BAIAP2L1,neutral,no,53180,0.2213990221887928,medium
